name|institution|course_id|language
Wind Energy|Technical University of Denmark (DTU)|wind-energy|Deutsch
Principles of Sustainable Finance|Erasmus University Rotterdam|sustainable-finance|English
Financial Engineering and Risk Management Part I|Columbia University|financial-engineering-1|English
Introduction to Philosophy|The University of Edinburgh|philosophy|English
Business Metrics for Data-Driven Companies|Duke University|analytics-business-metrics|English
Python Basics|University of Michigan|python-basics|English
Introduction to Sustainability|University of Illinois at Urbana-Champaign|sustainability|English
Positive Psychiatry and Mental Health|The University of Sydney|positive-psychiatry|English
Cryptography I|Stanford University|crypto|English
Learning to Teach Online|UNSW Sydney (The University of New South Wales)|teach-online|English
IT Security: Defense against the digital dark arts|Google|it-security|English
Entreprise et changement climatique|ESSEC Business School|entreprise-changement-climatique|French
An Introduction to Consumer Neuroscience & Neuromarketing|Copenhagen Business School|neuromarketing|English
Gamification|University of Pennsylvania|gamification|Italian
Divide and Conquer, Sorting and Searching, and Randomized Algorithms|Stanford University|algorithms-divide-conquer|English
Contabilidad para no contadores|Universidad Nacional Autónoma de México|contabilidad|Spanish
Using Python to Interact with the Operating System|Google|python-operating-system|English
Object-Oriented Data Structures in C++|University of Illinois at Urbana-Champaign|cs-fundamentals-1|English
Google Cloud Platform Big Data and Machine Learning Fundamentals|Google Cloud|gcp-big-data-ml-fundamentals|English
Databases and SQL for Data Science|IBM|sql-data-science|English
Natural Language Processing in TensorFlow|DeepLearning.AI|natural-language-processing-tensorflow|English
Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital|Erasmus University Rotterdam|advanced-valuation-and-strategy|English
Natural Language Processing with Probabilistic Models|DeepLearning.AI|probabilistic-models-in-nlp|English
Vital Signs: Understanding What the Body Is Telling Us|University of Pennsylvania|vital-signs|English
Understanding Research Methods|University of London|research-methods|Deutsch
IBM Customer Engagement Specialist Professional Certificate|IBM|ibm-customer-engagement-specialist|English
Introduction to Calculus|The University of Sydney|introduction-to-calculus|English
Camino a la Excelencia en Gestión de Proyectos|Pontificia Universidad Católica de Chile|camino-excelencia-gestion-proyectos|Spanish
Introduction to HTML5|University of Michigan|html|English
Wine Tasting: Sensory Techniques for Wine Analysis|University of California, Davis|wine|English
Excel Skills for Business: Intermediate I|Macquarie University|excel-intermediate-1|English
Programming Foundations with JavaScript, HTML and CSS|Duke University|duke-programming-web|English
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)|Hebrew University of Jerusalem|build-a-computer|English
Food & Beverage Management|Università Bocconi|food-beverage-management|English
Data Analysis with Python|IBM|data-analysis-with-python|English
Project Planning|University of California, Irvine|project-planning-1|English
Agile Meets Design Thinking|University of Virginia|uva-darden-getting-started-agile|English
AWS Fundamentals: Going Cloud-Native|Amazon Web Services|aws-fundamentals-going-cloud-native|English
Construction Project Management|Columbia University|construction-project-management|English
Introduction to Mathematical Thinking|Stanford University|mathematical-thinking|English
Everyday Parenting: The ABCs of Child Rearing|Yale University|everyday-parenting|English
Introduction to Healthcare|Stanford University|intro-to-healthcare|English
Machine Learning with Python|IBM|machine-learning-with-python|English
Terrorism and Counterterrorism: Comparing Theory and Practice|Universiteit Leiden|terrorism|English
Data Management for Clinical Research|Vanderbilt University|clinical-data-management|English
Sustainable Fashion|Copenhagen Business School|sustainable-fashion|English
Foundations of Data Science: K-Means Clustering in Python|University of London|data-science-k-means-clustering-python|English
Instructional Design Foundations and Applications|University of Illinois at Urbana-Champaign|instructional-design-foundations-applications|English
Cursos en línea: modelo para armar|Universidad Nacional Autónoma de México|enlinea|Spanish
Modern Art & Ideas|The Museum of Modern Art|modern-art-ideas|Deutsch
Speak English Professionally: In Person, Online & On the Phone|Georgia Institute of Technology|speak-english-professionally|English
Essential Google Cloud Infrastructure: Foundation|Google Cloud|gcp-infrastructure-foundation|French
Introduction to Artificial Intelligence (AI)|IBM|introduction-to-ai|English
Dog Emotion and Cognition|Duke University|dog-emotion-and-cognition|English
International Leadership and Organizational Behavior|Università Bocconi|organizational-behavior|English
